Rating,Cost(per hour USD),Instance
3.333333333,0.0928,t2.large
1.666666667,0.0832,B2ms
2.666666667,0.095,N1s2
1.666666667,0.015,Lin.G
4,0.1,c4.large
2,0.085,F2s
2,0.0709,N1cc
1,0.045,Lin.C
3.666666667,0.133,r4.large
3.333333333,0.126,E2s
2.666666667,0.1184,N1M2
1,0.09,Lin.M
2.666666667,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
4,0.0376,t3a.medium
3.333333333,0.0188,t3a.small
2,0.0208,t3.small
3,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
2.666666667,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
1,0.133,r4.large
2,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
3,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
4,0.0376,t3a.medium
3,0.0188,t3a.small
2.666666667,0.0208,t3.small
2.666666667,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
3,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
1,0.133,r4.large
2,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
3,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
4,0.0376,t3a.medium
3,0.0188,t3a.small
2.333333333,0.0208,t3.small
2.333333333,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
3,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
1.666666667,0.133,r4.large
2,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
3,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
3,0.0376,t3a.medium
1,0.0188,t3a.small
3,0.0208,t3.small
2.666666667,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
3,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
2,0.133,r4.large
2,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
3,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
4,0.0376,t3a.medium
2,0.0188,t3a.small
3,0.0208,t3.small
2.666666667,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
3,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
2,0.133,r4.large
2,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
3,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
3.666666667,0.0376,t3a.medium
2,0.0188,t3a.small
3,0.0208,t3.small
2.666666667,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
3,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
2,0.133,r4.large
2,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
3,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
3.666666667,0.0376,t3a.medium
2,0.0188,t3a.small
3,0.0208,t3.small
3,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
2.666666667,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
2,0.133,r4.large
2,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
2.666666667,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
4,0.0376,t3a.medium
3.333333333,0.0188,t3a.small
2,0.0208,t3.small
3,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
2.333333333,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
1,0.133,r4.large
1.666666667,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
2.666666667,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
4,0.0376,t3a.medium
4,0.0188,t3a.small
2,0.0208,t3.small
3,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
2.333333333,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
1,0.133,r4.large
2,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
2.333333333,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
4,0.0376,t3a.medium
4,0.0188,t3a.small
2,0.0208,t3.small
3,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
2.333333333,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
1,0.133,r4.large
2,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
2.333333333,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
4,0.0376,t3a.medium
4,0.0188,t3a.small
2,0.0208,t3.small
3,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
2.333333333,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
1,0.133,r4.large
2,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
2.333333333,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
4,0.0376,t3a.medium
4,0.0188,t3a.small
2,0.0208,t3.small
3,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
2.666666667,0.1,c4.large
2,0.085,F2s
1,0.0709,N1cc
1,0.045,Lin.C
1,0.133,r4.large
2,0.126,E2s
1,0.1184,N1M2
1,0.09,Lin.M
2.333333333,0.085,c5.large
2,0.1,m4.large
2,0.0464,t2.medium
2,0.023,t2.small
4,0.0752,t3a.large
4,0.0376,t3a.medium
4,0.0188,t3a.small
2,0.0208,t3.small
3,0.0928,t2.large
2,0.0832,B2ms
1,0.095,N1s2
1,0.015,Lin.G
2.666666667,0.1,c4.large
