a2cloud_score,Cost(per hour USD),Instance,cluster
2.9569489780000002,0.095,N1s2,3
7.141438026,0.09,Lin.M,0
1.201322935,0.085,c5.large,1
1.442970862,0.085,c5.large,1
6.049014872000001,0.015,Lin.G,0
4.366837529,0.085,F2s,3
3.9750327739999998,0.0709,N1cc,3
4.09356811,0.1,m4.large,3
3.307907755,0.1184,N1M2,3
7.004490422000001,0.045,Lin.C,0
3.59146499,0.126,E2s,3
5.556976212,0.015,Lin.G,0
5.267284235,0.095,N1s2,3
4.988056469,0.095,N1s2,3
10.0,0.0832,B2ms,2
3.620798906,0.1,m4.large,3
10.0,0.0832,B2ms,2
5.110114275,0.0832,B2ms,3
4.901853349,0.095,N1s2,3
1.0,0.085,c5.large,1
2.452132726,0.1,c4.large,1
3.9520250569999997,0.023,t2.small,3
7.487251872000001,0.09,Lin.M,0
5.176853394,0.0709,N1cc,3
5.081466411,0.0709,N1cc,3
3.957973675,0.0464,t2.medium,3
3.228816768,0.133,r4.large,3
4.956169715,0.1184,N1M2,3
10.0,0.0188,t3a.small,2
3.7530029469999997,0.0376,t3a.medium,3
7.316749947999999,0.09,Lin.M,0
3.8780188310000003,0.0928,t2.large,3
4.803936772,0.085,F2s,3
3.9564397189999996,0.1,m4.large,3
1.0,0.085,c5.large,1
3.9670031289999996,0.023,t2.small,3
4.994418935,0.0832,B2ms,3
1.0,0.0752,t3a.large,1
1.3682326390000001,0.085,c5.large,1
1.702403785,0.0928,t2.large,1
1.143914838,0.09,Lin.M,1
3.959495488,0.0464,t2.medium,3
1.0,0.0752,t3a.large,1
1.0,0.0752,t3a.large,1
4.0693852,0.023,t2.small,3
4.28042213,0.023,t2.small,3
3.321425828,0.085,F2s,3
1.2834045859999998,0.085,c5.large,1
4.318795144,0.095,N1s2,3
4.611219265,0.085,F2s,3
2.533236485,0.1,c4.large,1
4.084211058999999,0.126,E2s,3
3.975075999,0.0709,N1cc,3
2.194854947,0.0188,t3a.small,1
1.182554081,0.09,Lin.M,1
5.2519581660000005,0.0832,B2ms,3
1.0,0.015,Lin.G,1
3.570066962,0.0928,t2.large,3
1.0,0.015,Lin.G,1
6.476663576,0.015,Lin.G,0
6.765124814,0.045,Lin.C,0
3.547326646,0.133,r4.large,3
4.428587876,0.085,F2s,3
4.968573828999999,0.1184,N1M2,3
3.673740786,0.1,m4.large,3
1.884216,0.0208,t3.small,1
4.81817976,0.0709,N1cc,3
2.9460284210000003,0.1184,N1M2,3
1.0,0.0752,t3a.large,1
3.2001823660000004,0.0464,t2.medium,3
2.277888806,0.0208,t3.small,1
1.107788113,0.09,Lin.M,1
