a2cloud_score,Cost(per hour USD),Instance
3.728345735,0.0928,t2.large
5.071406594,0.0832,B2ms
4.942640753,0.095,N1s2
6.261004533,0.015,Lin.G
2.452132726,0.1,c4.large
4.527080637,0.085,F2s
4.741493433,0.0709,N1cc
7.004490422,0.045,Lin.C
3.624187107,0.133,r4.large
3.829985284,0.126,E2s
4.960233706,0.1184,N1M2
7.228669105,0.09,Lin.M
1.095456759,0.085,c5.large
3.736108198,0.1,m4.large
4.212882095,0.0464,t2.medium
3.967003129,0.023,t2.small
1,0.0752,t3a.large
3.73260561,0.0376,t3a.medium
10,0.0188,t3a.small
2.025089766,0.0208,t3.small
3.874498506,0.0928,t2.large
5.251958166,0.0832,B2ms
5.267284235,0.095,N1s2
6.589028799,0.015,Lin.G
2.622177764,0.1,c4.large
4.706726484,0.085,F2s
5.081466411,0.0709,N1cc
7.318509498,0.045,Lin.C
3.912556809,0.133,r4.large
4.046243123,0.126,E2s
5.283974277,0.1184,N1M2
7.487251872,0.09,Lin.M
1.283404586,0.085,c5.large
3.956439719,0.1,m4.large
4.398778076,0.0464,t2.medium
4.171804872,0.023,t2.small
1,0.0752,t3a.large
3.753543907,0.0376,t3a.medium
10,0.0188,t3a.small
2.2241189,0.0208,t3.small
1.696157745,0.0928,t2.large
10,0.0832,B2ms
3.115718034,0.095,N1s2
1,0.015,Lin.G
3.044228648,0.1,c4.large
3.326352797,0.085,F2s
3.117643115,0.0709,N1cc
1.120555353,0.045,Lin.C
3.882392556,0.133,r4.large
6.106358803,0.126,E2s
3.116850556,0.1184,N1M2
1.143914838,0.09,Lin.M
1.430565935,0.085,c5.large
3.620798906,0.1,m4.large
3.224093438,0.0464,t2.medium
3.227609969,0.023,t2.small
1.25063732,0.0752,t3a.large
1.506661109,0.0376,t3a.medium
2.235582058,0.0188,t3a.small
1.55032099,0.0208,t3.small
3.774272619,0.0928,t2.large
4.994418935,0.0832,B2ms
4.318795144,0.095,N1s2
5.556976212,0.015,Lin.G
2.473776099,0.1,c4.large
4.465982569,0.085,F2s
3.976750103,0.0709,N1cc
6.371554137,0.045,Lin.C
3.228816768,0.133,r4.large
3.59146499,0.126,E2s
4.414007442,0.1184,N1M2
6.838045789,0.09,Lin.M
1,0.085,c5.large
3.530434512,0.1,m4.large
3.957973675,0.0464,t2.medium
3.822549592,0.023,t2.small
2.368368399,0.0752,t3a.large
3.58687506,0.0376,t3a.medium
10,0.0188,t3a.small
1.875266545,0.0208,t3.small
3.878018831,0.0928,t2.large
5.110114275,0.0832,B2ms
4.988056469,0.095,N1s2
6.476663576,0.015,Lin.G
2.562110479,0.1,c4.large
4.627269057,0.085,F2s
4.669738331,0.0709,N1cc
7.246944987,0.045,Lin.C
3.708097913,0.133,r4.large
3.805623769,0.126,E2s
4.968573829,0.1184,N1M2
7.316749948,0.09,Lin.M
1.172652436,0.085,c5.large
3.879200118,0.1,m4.large
4.048228549,0.0464,t2.medium
4.083864885,0.023,t2.small
1,0.0752,t3a.large
3.753002947,0.0376,t3a.medium
10,0.0188,t3a.small
2.071930811,0.0208,t3.small
4.007450264,0.0928,t2.large
5.289730521,0.0832,B2ms
5.30174206,0.095,N1s2
6.809113897,0.015,Lin.G
2.733513258,0.1,c4.large
4.803936772,0.085,F2s
4.992615924,0.0709,N1cc
7.575632188,0.045,Lin.C
3.985505706,0.133,r4.large
4.011200366,0.126,E2s
5.279297316,0.1184,N1M2
7.568070057,0.09,Lin.M
1.368232639,0.085,c5.large
4.09356811,0.1,m4.large
4.227142942,0.0464,t2.medium
4.28042213,0.023,t2.small
1,0.0752,t3a.large
3.772564888,0.0376,t3a.medium
10,0.0188,t3a.small
2.277888806,0.0208,t3.small
1.702403785,0.0928,t2.large
10,0.0832,B2ms
2.956948978,0.095,N1s2
1,0.015,Lin.G
3.052389951,0.1,c4.large
3.321425828,0.085,F2s
2.93291504,0.0709,N1cc
1.130937439,0.045,Lin.C
3.868913886,0.133,r4.large
6.077232879,0.126,E2s
2.946028421,0.1184,N1M2
1.107788113,0.09,Lin.M
1.442970862,0.085,c5.large
3.619126667,0.1,m4.large
3.198096038,0.0464,t2.medium
3.219933555,0.023,t2.small
1.250672554,0.0752,t3a.large
1.50108388,0.0376,t3a.medium
2.194854947,0.0188,t3a.small
1.553970028,0.0208,t3.small
4.306968368,0.0928,t2.large
5.025384242,0.0832,B2ms
4.413290931,0.095,N1s2
5.759592116,0.015,Lin.G
2.533236485,0.1,c4.large
4.566629654,0.085,F2s
3.975075999,0.0709,N1cc
6.547462183,0.045,Lin.C
3.33212829,0.133,r4.large
3.597985514,0.126,E2s
4.438851195,0.1184,N1M2
6.957039309,0.09,Lin.M
1,0.085,c5.large
3.673740786,0.1,m4.large
3.965005555,0.0464,t2.medium
3.952025057,0.023,t2.small
2.341332271,0.0752,t3a.large
3.616887805,0.0376,t3a.medium
10,0.0188,t3a.small
1.863648962,0.0208,t3.small
3.607712869,0.0928,t2.large
5.031695247,0.0832,B2ms
4.901853349,0.095,N1s2
6.049014872,0.015,Lin.G
2.345943859,0.1,c4.large
4.428587876,0.085,F2s
4.81817976,0.0709,N1cc
6.765124814,0.045,Lin.C
3.547326646,0.133,r4.large
3.856506331,0.126,E2s
4.956169715,0.1184,N1M2
7.141438026,0.09,Lin.M
1.021092112,0.085,c5.large
3.599592127,0.1,m4.large
3.770259088,0.0464,t2.medium
3.856038743,0.023,t2.small
1,0.0752,t3a.large
3.710969632,0.0376,t3a.medium
10,0.0188,t3a.small
1.978557898,0.0208,t3.small
3.762290524,0.0928,t2.large
5.21321015,0.0832,B2ms
5.237552069,0.095,N1s2
6.372377009,0.015,Lin.G
2.514525682,0.1,c4.large
4.611219265,0.085,F2s
5.176853394,0.0709,N1cc
7.064559369,0.045,Lin.C
3.847292622,0.133,r4.large
4.084211059,0.126,E2s
5.294027334,0.1184,N1M2
7.407602151,0.09,Lin.M
1.201322935,0.085,c5.large
3.825942219,0.1,m4.large
3.959495488,0.0464,t2.medium
4.0693852,0.023,t2.small
1,0.0752,t3a.large
3.733233125,0.0376,t3a.medium
10,0.0188,t3a.small
2.170602475,0.0208,t3.small
1.699366861,0.0928,t2.large
10,0.0832,B2ms
3.293548695,0.095,N1s2
1,0.015,Lin.G
3.035925554,0.1,c4.large
3.332253894,0.085,F2s
3.32512349,0.0709,N1cc
1.109619978,0.045,Lin.C
3.899127385,0.133,r4.large
6.139814794,0.126,E2s
3.307907755,0.1184,N1M2
1.182554081,0.09,Lin.M
1.417683619,0.085,c5.large
3.623483616,0.1,m4.large
3.200182366,0.0464,t2.medium
3.236511666,0.023,t2.small
1.250689889,0.0752,t3a.large
1.512343849,0.0376,t3a.medium
2.278775871,0.0188,t3a.small
1.54643908,0.0208,t3.small
3.570066962,0.0928,t2.large
4.960292772,0.0832,B2ms
4.245740835,0.095,N1s2
5.361599816,0.015,Lin.G
2.415743973,0.1,c4.large
4.366837529,0.085,F2s
3.975032774,0.0709,N1cc
6.199706594,0.045,Lin.C
3.12920026,0.133,r4.large
3.582035959,0.126,E2s
4.386754623,0.1184,N1M2
6.719617195,0.09,Lin.M
1,0.085,c5.large
3.393391377,0.1,m4.large
3.700638793,0.0464,t2.medium
3.697601318,0.023,t2.small
2.391436145,0.0752,t3a.large
3.555448684,0.0376,t3a.medium
10,0.0188,t3a.small
1.884216,0.0208,t3.small
