a2cloud_score,Cost(per hour USD),Instance
6.560350189,0.0928,t2.large
8.167522777,0.0832,B2ms
7.933549051,0.095,N1s2
7.03280786,0.015,Lin.G
4.649493126,0.1,c4.large
8.158893963,0.085,F2s
8.719662622,0.0709,N1cc
10,0.045,Lin.C
7.623356416,0.133,r4.large
7.739838672,0.126,E2s
9.918277558,0.1184,N1M2
9.621931927,0.09,Lin.M
1.183981137,0.085,c5.large
1.468860752,0.1,m4.large
1.554808883,0.0464,t2.medium
1.868994985,0.023,t2.small
1,0.0752,t3a.large
2.023441474,0.0376,t3a.medium
2.341639615,0.0188,t3a.small
2.621989214,0.0208,t3.small
6.95656398,0.0928,t2.large
8.59086969,0.0832,B2ms
8.35718743,0.095,N1s2
7.3768977,0.015,Lin.G
4.9200541,0.1,c4.large
8.49030245,0.085,F2s
7.30442532,0.0709,N1cc
7.60877756,0.045,Lin.C
7.97218532,0.133,r4.large
7.81458491,0.126,E2s
7.0206048,0.1184,N1M2
10,0.09,Lin.M
1.26333658,0.085,c5.large
1.53713804,0.1,m4.large
1.63440561,0.0464,t2.medium
1.98689503,0.023,t2.small
1,0.0752,t3a.large
2.11558963,0.0376,t3a.medium
2.45280689,0.0188,t3a.small
2.81904168,0.0208,t3.small
5.134014459,0.0928,t2.large
6.387522109,0.0832,B2ms
6.20219078,0.095,N1s2
5.542810655,0.015,Lin.G
3.70628096,0.1,c4.large
6.442350706,0.085,F2s
8.057414921,0.0709,N1cc
9.725025584,0.045,Lin.C
6.006914534,0.133,r4.large
6.282890148,0.126,E2s
10,0.1184,N1M2
7.568714317,0.09,Lin.M
1.092360514,0.085,c5.large
1.325205862,0.1,m4.large
1.385622737,0.0464,t2.medium
1.608540865,0.023,t2.small
1,0.0752,t3a.large
1.748019277,0.0376,t3a.medium
1.987044484,0.0188,t3a.small
2.151279234,0.0208,t3.small
