a2cloud_score,Cost(per hour USD),Instance,cluster
4.274689882,0.133,r4.large,0
2.9896325910000003,0.133,r4.large,0
2.857892948,0.133,r4.large,0
3.4812708519999997,0.0928,t2.large,0
3.4708372000000005,0.126,E2s,0
5.245099634,0.1184,N1M2,3
5.201603842,0.1184,N1M2,3
4.306694891,0.085,F2s,0
4.122174868,0.0464,t2.medium,0
4.195702136,0.1184,N1M2,0
5.235944306,0.015,Lin.G,3
5.320437124,0.015,Lin.G,3
10.0,0.0188,t3a.small,1
5.553125471,0.015,Lin.G,3
1.437128467,0.0752,t3a.large,2
4.435568668,0.045,Lin.C,0
5.959372104,0.045,Lin.C,3
4.036892572,0.023,t2.small,0
1.848631481,0.0208,t3.small,2
4.721008866,0.0832,B2ms,0
1.8384091530000002,0.0208,t3.small,2
4.133136068,0.095,N1s2,0
3.707880919,0.023,t2.small,0
3.152671839,0.0376,t3a.medium,0
2.40959223,0.1,c4.large,2
4.147338133,0.085,F2s,0
10.0,0.0188,t3a.small,1
3.834526485,0.126,E2s,0
6.141998298,0.126,E2s,3
4.764930081,0.1184,N1M2,0
10.0,0.0832,B2ms,1
5.629995592999999,0.015,Lin.G,3
5.827675413,0.015,Lin.G,3
3.99713769,0.0928,t2.large,0
6.590561769,0.09,Lin.M,3
3.577241209,0.0928,t2.large,0
3.714903915,0.023,t2.small,0
2.470119153,0.1,c4.large,2
4.240473324,0.023,t2.small,0
3.918904955,0.0709,N1cc,0
1.360938635,0.0752,t3a.large,2
3.51643817,0.1,m4.large,0
10.0,0.0188,t3a.small,1
3.744804815,0.0928,t2.large,0
3.873469675,0.0464,t2.medium,0
4.025901932,0.0709,N1cc,0
1.47086034,0.0752,t3a.large,2
1.8188868180000002,0.0208,t3.small,2
1.8598166859999998,0.0208,t3.small,2
3.502047601,0.0464,t2.medium,0
3.423258604,0.126,E2s,0
3.246004029,0.1,c4.large,0
5.394368553,0.015,Lin.G,3
3.4452159680000003,0.126,E2s,0
2.408788331,0.1,c4.large,2
3.79819603,0.126,E2s,0
1.394123403,0.0752,t3a.large,2
3.9170127189999997,0.023,t2.small,0
