a2cloud_score,Cost(per hour USD),Instance,cluster
8.392073525,0.133,r4.large,0
1.0,0.0752,t3a.large,1
9.855300378999999,0.015,Lin.G,0
9.461298326,0.1184,N1M2,0
8.331257369,0.095,N1s2,0
4.807231378,0.0928,t2.large,3
8.801770268,0.015,Lin.G,0
4.757761017,0.085,c5.large,3
5.56788359,0.0464,t2.medium,2
9.204744853,0.09,Lin.M,0
9.118077009,0.045,Lin.C,0
6.500691901000001,0.085,F2s,2
1.332977005,0.0376,t3a.medium,1
6.698470007,0.126,E2s,2
6.399542371,0.1,m4.large,2
8.208838482,0.09,Lin.M,0
9.639208269,0.1184,N1M2,0
6.136046638,0.0832,B2ms,2
6.96790373,0.1,m4.large,2
4.98825168,0.1,c4.large,3
5.142547651,0.085,c5.large,3
5.248361926,0.1,c4.large,3
1.0,0.0752,t3a.large,1
5.879877519,0.0832,B2ms,2
6.380047443,0.0832,B2ms,2
9.945245777,0.045,Lin.C,0
6.613988114,0.126,E2s,2
6.7577960710000005,0.126,E2s,2
9.781761009,0.1184,N1M2,0
7.936188671,0.133,r4.large,0
8.761544921,0.1184,N1M2,0
2.781473937,0.0188,t3a.small,1
6.655222954,0.126,E2s,2
9.645383301,0.1184,N1M2,0
1.295006106,0.0376,t3a.medium,1
4.8001728219999995,0.0928,t2.large,3
5.906093726,0.0832,B2ms,2
6.316344153999999,0.0832,B2ms,2
7.288585586,0.133,r4.large,2
9.826762978,0.0709,N1cc,0
8.583071278,0.09,Lin.M,0
5.890455827,0.126,E2s,2
5.979004775,0.0464,t2.medium,2
7.056575923,0.0832,B2ms,2
8.425744222,0.133,r4.large,0
9.686964587,0.1184,N1M2,0
6.7841833,0.126,E2s,2
6.044879669,0.023,t2.small,2
10.0,0.015,Lin.G,0
4.091619252,0.0208,t3.small,3
6.745366762000001,0.0832,B2ms,2
4.868522134,0.0928,t2.large,3
9.17863687,0.045,Lin.C,0
5.930597584,0.0464,t2.medium,2
1.25533112,0.0376,t3a.medium,1
8.391813047000001,0.133,r4.large,0
5.833708175,0.0464,t2.medium,2
4.714804056,0.0188,t3a.small,3
6.678437793,0.0832,B2ms,2
5.0356163060000005,0.1,c4.large,3
