a2cloud_score,Cost(per hour USD),Instance
4.873968021,0.0928,t2.large
6.531882314,0.0832,B2ms
9.609185256,0.095,N1s2
10,0.015,Lin.G
5.085807026,0.1,c4.large
6.01050196,0.085,F2s
9.82956022,0.0709,N1cc
9.945245777,0.045,Lin.C
8.393924483,0.133,r4.large
6.757796071,0.126,E2s
9.645383301,0.1184,N1M2
8.737053065,0.09,Lin.M
4.941731938,0.085,c5.large
6.755322773,0.1,m4.large
5.930597584,0.0464,t2.medium
6.416637707,0.023,t2.small
1,0.0752,t3a.large
1.351579652,0.0376,t3a.medium
3.067805965,0.0188,t3a.small
5.516206383,0.0208,t3.small
4.929266664,0.0928,t2.large
6.678437793,0.0832,B2ms
9.246605955,0.095,N1s2
9.872603012,0.015,Lin.G
4.79142064,0.1,c4.large
6.086843714,0.085,F2s
9.378459461,0.0709,N1cc
10,0.045,Lin.C
7.917066547,0.133,r4.large
6.552767448,0.126,E2s
9.272064745,0.1184,N1M2
9.045531687,0.09,Lin.M
4.358360056,0.085,c5.large
6.548206785,0.1,m4.large
5.936423377,0.0464,t2.medium
6.310073481,0.023,t2.small
1,0.0752,t3a.large
1.809989648,0.0376,t3a.medium
4.622127516,0.0188,t3a.small
5.061098301,0.0208,t3.small
5.035931308,0.0928,t2.large
6.916145475,0.0832,B2ms
8.347701386,0.095,N1s2
9.487866197,0.015,Lin.G
4.184796468,0.1,c4.large
6.20891099,0.085,F2s
8.310912673,0.0709,N1cc
10,0.045,Lin.C
6.77788152,0.133,r4.large
6.079639408,0.126,E2s
8.358054815,0.1184,N1M2
9.573517048,0.09,Lin.M
3.132820041,0.085,c5.large
6.027229641,0.1,m4.large
5.941105919,0.0464,t2.medium
6.01998923,0.023,t2.small
1,0.0752,t3a.large
3.129097794,0.0376,t3a.medium
8.403318046,0.0188,t3a.small
4.100869354,0.0208,t3.small
4.969490789,0.0928,t2.large
6.543197384,0.0832,B2ms
8.807193526,0.095,N1s2
9.711096854,0.015,Lin.G
4.48244548,0.1,c4.large
6.086759715,0.085,F2s
8.866424032,0.0709,N1cc
10,0.045,Lin.C
7.355898604,0.133,r4.large
6.216353631,0.126,E2s
8.822782513,0.1184,N1M2
9.277215667,0.09,Lin.M
3.831423271,0.085,c5.large
6.263928677,0.1,m4.large
5.890214816,0.0464,t2.medium
6.136650823,0.023,t2.small
1,0.0752,t3a.large
2.371914304,0.0376,t3a.medium
6.194133598,0.0188,t3a.small
4.643382734,0.0208,t3.small
4.994562416,0.0928,t2.large
6.809123731,0.0832,B2ms
8.748842161,0.095,N1s2
9.659501985,0.015,Lin.G
4.450979058,0.1,c4.large
6.158438595,0.085,F2s
8.785472369,0.0709,N1cc
10,0.045,Lin.C
7.288585586,0.133,r4.large
6.286322673,0.126,E2s
8.761544921,0.1184,N1M2
9.346182168,0.09,Lin.M
3.680236069,0.085,c5.large
6.265345142,0.1,m4.large
5.942391159,0.0464,t2.medium
6.155610957,0.023,t2.small
1,0.0752,t3a.large
2.519904322,0.0376,t3a.medium
6.656314671,0.0188,t3a.small
4.528700064,0.0208,t3.small
4.969490789,0.0928,t2.large
6.543197384,0.0832,B2ms
8.807193526,0.095,N1s2
9.711096854,0.015,Lin.G
4.48244548,0.1,c4.large
6.086759715,0.085,F2s
8.866424032,0.0709,N1cc
10,0.045,Lin.C
7.355898604,0.133,r4.large
6.216353631,0.126,E2s
8.822782513,0.1184,N1M2
9.277215667,0.09,Lin.M
3.831423271,0.085,c5.large
6.263928677,0.1,m4.large
5.890214816,0.0464,t2.medium
6.136650823,0.023,t2.small
1,0.0752,t3a.large
2.371914304,0.0376,t3a.medium
6.194133598,0.0188,t3a.small
4.643382734,0.0208,t3.small
4.831277731,0.0928,t2.large
6.68335916,0.0832,B2ms
9.71171059,0.095,N1s2
9.960329004,0.015,Lin.G
5.255037474,0.1,c4.large
6.088076778,0.085,F2s
10,0.0709,N1cc
9.840289031,0.045,Lin.C
8.566172705,0.133,r4.large
6.898732321,0.126,E2s
9.752321661,0.1184,N1M2
8.552032633,0.09,Lin.M
5.145939549,0.085,c5.large
6.829568594,0.1,m4.large
5.979004775,0.0464,t2.medium
6.570636763,0.023,t2.small
1,0.0752,t3a.large
1.20937957,0.0376,t3a.medium
2.572174286,0.0188,t3a.small
5.700021077,0.0208,t3.small
4.815423165,0.0928,t2.large
6.136046638,0.0832,B2ms
9.62018045,0.095,N1s2
10,0.015,Lin.G
5.111306547,0.1,c4.large
5.89310844,0.085,F2s
9.876902852,0.0709,N1cc
9.875122388,0.045,Lin.C
8.425744222,0.133,r4.large
6.621709789,0.126,E2s
9.659907929,0.1184,N1M2
8.582311756,0.09,Lin.M
5.125932996,0.085,c5.large
6.708628741,0.1,m4.large
5.835229086,0.0464,t2.medium
6.368595498,0.023,t2.small
1,0.0752,t3a.large
1.181398422,0.0376,t3a.medium
2.471286356,0.0188,t3a.small
5.65050536,0.0208,t3.small
4.811994379,0.0928,t2.large
6.077570034,0.0832,B2ms
9.606253733,0.095,N1s2
10,0.015,Lin.G
5.093831631,0.1,c4.large
5.870861966,0.085,F2s
9.859358292,0.0709,N1cc
9.875121686,0.045,Lin.C
8.406969324,0.133,r4.large
6.590115021,0.126,E2s
9.645929134,0.1184,N1M2
8.582884606,0.09,Lin.M
5.12046122,0.085,c5.large
6.69306856,0.1,m4.large
5.818020681,0.0464,t2.medium
6.344994131,0.023,t2.small
1,0.0752,t3a.large
1.178728142,0.0376,t3a.medium
2.46358285,0.0188,t3a.small
5.642102594,0.0208,t3.small
4.818158258,0.0928,t2.large
6.186074448,0.0832,B2ms
9.630404599,0.095,N1s2
10,0.015,Lin.G
5.123956801,0.1,c4.large
5.912063835,0.085,F2s
9.889525776,0.0709,N1cc
9.876286808,0.045,Lin.C
8.439131602,0.133,r4.large
6.647071077,0.126,E2s
9.670325574,0.1184,N1M2
8.58419547,0.09,Lin.M
5.126501977,0.085,c5.large
6.72043125,0.1,m4.large
5.849239272,0.0464,t2.medium
