a2cloud_score,Cost(per hour USD),Instance
1.779286759,0.0928,t2.large
9.038401402,0.0832,B2ms
5.508524548,0.095,N1s2
1.845338167,0.015,Lin.G
1.565041901,0.1,c4.large
1.690335421,0.085,F2s
1.656208121,0.0709,N1cc
2.075739165,0.045,Lin.C
1.72980663,0.133,r4.large
3.5045178,0.126,E2s
1.033746501,0.1184,N1M2
2.33243659,0.09,Lin.M
1,0.085,c5.large
1.560080378,0.1,m4.large
2.685426037,0.0464,t2.medium
10,0.023,t2.small
1.836081155,0.0752,t3a.large
1.902415014,0.0376,t3a.medium
1.964006358,0.0188,t3a.small
1.183192607,0.0208,t3.small
3.076447238,0.0928,t2.large
9.66489093,0.0832,B2ms
6.497144084,0.095,N1s2
3.247460983,0.015,Lin.G
1,0.1,c4.large
3.103549398,0.085,F2s
3.133766497,0.0709,N1cc
3.471246558,0.045,Lin.C
3.181794648,0.133,r4.large
4.325150553,0.126,E2s
2.659697886,0.1184,N1M2
3.649722087,0.09,Lin.M
2.34129306,0.085,c5.large
3.573166627,0.1,m4.large
3.214890355,0.0464,t2.medium
10,0.023,t2.small
3.179370642,0.0752,t3a.large
3.277306088,0.0376,t3a.medium
3.346108142,0.0188,t3a.small
2.47685644,0.0208,t3.small
1.88315986,0.0928,t2.large
8.71994323,0.0832,B2ms
5.37036039,0.095,N1s2
1.86802579,0.015,Lin.G
1.58433245,0.1,c4.large
1.72429001,0.085,F2s
1.64953615,0.0709,N1cc
2.07480543,0.045,Lin.C
1.73192407,0.133,r4.large
3.72886123,0.126,E2s
1,0.1184,N1M2
2.35452459,0.09,Lin.M
1.16861663,0.085,c5.large
1.19225817,0.1,m4.large
3.21288465,0.0464,t2.medium
10,0.023,t2.small
1.90087291,0.0752,t3a.large
1.93707319,0.0376,t3a.medium
1.98609717,0.0188,t3a.small
1.36253267,0.0208,t3.small
