a2cloud_score,Cost(per hour USD),Instance
6.95656398,0.0928,t2.large
8.59086969,0.0832,B2ms
8.35718743,0.095,N1s2
7.3768977,0.015,Lin.G
4.9200541,0.1,c4.large
8.49030245,0.085,F2s
7.30442532,0.0709,N1cc
7.60877756,0.045,Lin.C
7.97218532,0.133,r4.large
7.81458491,0.126,E2s
7.0206048,0.1184,N1M2
10,0.09,Lin.M
1.26333658,0.085,c5.large
1.53713804,0.1,m4.large
1.63440561,0.0464,t2.medium
1.98689503,0.023,t2.small
1,0.0752,t3a.large
2.11558963,0.0376,t3a.medium
2.45280689,0.0188,t3a.small
2.81904168,0.0208,t3.small
