a2cloud_score,Cost(per hour USD),Instance
5.134014459,0.0928,t2.large
6.387522109,0.0832,B2ms
6.20219078,0.095,N1s2
5.542810655,0.015,Lin.G
3.70628096,0.1,c4.large
6.442350706,0.085,F2s
8.057414921,0.0709,N1cc
9.725025584,0.045,Lin.C
6.006914534,0.133,r4.large
6.282890148,0.126,E2s
10,0.1184,N1M2
7.568714317,0.09,Lin.M
1.092360514,0.085,c5.large
1.325205862,0.1,m4.large
1.385622737,0.0464,t2.medium
1.608540865,0.023,t2.small
1,0.0752,t3a.large
1.748019277,0.0376,t3a.medium
1.987044484,0.0188,t3a.small
2.151279234,0.0208,t3.small
