a2cloud_score,Cost(per hour USD),Instance
3.728345735,0.0928,t2.large
5.071406594,0.0832,B2ms
4.942640753,0.095,N1s2
6.261004533,0.015,Lin.G
2.452132726,0.1,c4.large
4.527080637,0.085,F2s
4.741493433,0.0709,N1cc
7.004490422,0.045,Lin.C
3.624187107,0.133,r4.large
3.829985284,0.126,E2s
4.960233706,0.1184,N1M2
7.228669105,0.09,Lin.M
1.095456759,0.085,c5.large
3.736108198,0.1,m4.large
4.212882095,0.0464,t2.medium
3.967003129,0.023,t2.small
1,0.0752,t3a.large
3.73260561,0.0376,t3a.medium
10,0.0188,t3a.small
2.025089766,0.0208,t3.small
3.874498506,0.0928,t2.large
5.251958166,0.0832,B2ms
5.267284235,0.095,N1s2
6.589028799,0.015,Lin.G
2.622177764,0.1,c4.large
4.706726484,0.085,F2s
5.081466411,0.0709,N1cc
7.318509498,0.045,Lin.C
3.912556809,0.133,r4.large
4.046243123,0.126,E2s
5.283974277,0.1184,N1M2
7.487251872,0.09,Lin.M
1.283404586,0.085,c5.large
3.956439719,0.1,m4.large
4.398778076,0.0464,t2.medium
4.171804872,0.023,t2.small
1,0.0752,t3a.large
3.753543907,0.0376,t3a.medium
10,0.0188,t3a.small
2.2241189,0.0208,t3.small
1.696157745,0.0928,t2.large
10,0.0832,B2ms
3.115718034,0.095,N1s2
1,0.015,Lin.G
3.044228648,0.1,c4.large
3.326352797,0.085,F2s
3.117643115,0.0709,N1cc
1.120555353,0.045,Lin.C
3.882392556,0.133,r4.large
6.106358803,0.126,E2s
3.116850556,0.1184,N1M2
1.143914838,0.09,Lin.M
1.430565935,0.085,c5.large
3.620798906,0.1,m4.large
3.224093438,0.0464,t2.medium
3.227609969,0.023,t2.small
1.25063732,0.0752,t3a.large
1.506661109,0.0376,t3a.medium
2.235582058,0.0188,t3a.small
1.55032099,0.0208,t3.small
3.774272619,0.0928,t2.large
4.994418935,0.0832,B2ms
4.318795144,0.095,N1s2
5.556976212,0.015,Lin.G
2.473776099,0.1,c4.large
4.465982569,0.085,F2s
3.976750103,0.0709,N1cc
6.371554137,0.045,Lin.C
3.228816768,0.133,r4.large
3.59146499,0.126,E2s
4.414007442,0.1184,N1M2
6.838045789,0.09,Lin.M
1,0.085,c5.large
3.530434512,0.1,m4.large
3.957973675,0.0464,t2.medium
3.822549592,0.023,t2.small
2.368368399,0.0752,t3a.large
3.58687506,0.0376,t3a.medium
10,0.0188,t3a.small
1.875266545,0.0208,t3.small
