a2cloud_score,Cost(per hour USD),Instance
3.878018831,0.0928,t2.large
5.110114275,0.0832,B2ms
4.988056469,0.095,N1s2
6.476663576,0.015,Lin.G
2.562110479,0.1,c4.large
4.627269057,0.085,F2s
4.669738331,0.0709,N1cc
7.246944987,0.045,Lin.C
3.708097913,0.133,r4.large
3.805623769,0.126,E2s
4.968573829,0.1184,N1M2
7.316749948,0.09,Lin.M
1.172652436,0.085,c5.large
3.879200118,0.1,m4.large
4.048228549,0.0464,t2.medium
4.083864885,0.023,t2.small
1,0.0752,t3a.large
3.753002947,0.0376,t3a.medium
10,0.0188,t3a.small
2.071930811,0.0208,t3.small
4.007450264,0.0928,t2.large
5.289730521,0.0832,B2ms
5.30174206,0.095,N1s2
6.809113897,0.015,Lin.G
2.733513258,0.1,c4.large
4.803936772,0.085,F2s
4.992615924,0.0709,N1cc
7.575632188,0.045,Lin.C
3.985505706,0.133,r4.large
4.011200366,0.126,E2s
5.279297316,0.1184,N1M2
7.568070057,0.09,Lin.M
1.368232639,0.085,c5.large
4.09356811,0.1,m4.large
4.227142942,0.0464,t2.medium
4.28042213,0.023,t2.small
1,0.0752,t3a.large
3.772564888,0.0376,t3a.medium
10,0.0188,t3a.small
2.277888806,0.0208,t3.small
1.702403785,0.0928,t2.large
10,0.0832,B2ms
2.956948978,0.095,N1s2
1,0.015,Lin.G
3.052389951,0.1,c4.large
3.321425828,0.085,F2s
2.93291504,0.0709,N1cc
1.130937439,0.045,Lin.C
3.868913886,0.133,r4.large
6.077232879,0.126,E2s
2.946028421,0.1184,N1M2
1.107788113,0.09,Lin.M
1.442970862,0.085,c5.large
3.619126667,0.1,m4.large
3.198096038,0.0464,t2.medium
3.219933555,0.023,t2.small
1.250672554,0.0752,t3a.large
1.50108388,0.0376,t3a.medium
2.194854947,0.0188,t3a.small
1.553970028,0.0208,t3.small
4.306968368,0.0928,t2.large
5.025384242,0.0832,B2ms
4.413290931,0.095,N1s2
5.759592116,0.015,Lin.G
2.533236485,0.1,c4.large
4.566629654,0.085,F2s
3.975075999,0.0709,N1cc
6.547462183,0.045,Lin.C
3.33212829,0.133,r4.large
3.597985514,0.126,E2s
4.438851195,0.1184,N1M2
6.957039309,0.09,Lin.M
1,0.085,c5.large
3.673740786,0.1,m4.large
3.965005555,0.0464,t2.medium
3.952025057,0.023,t2.small
2.341332271,0.0752,t3a.large
3.616887805,0.0376,t3a.medium
10,0.0188,t3a.small
1.863648962,0.0208,t3.small
