a2cloud_score,Cost(per hour USD),Instance
1.554661485,0.0928,t2.large
10,0.0832,B2ms
2.755150265,0.095,N1s2
1.812916918,0.015,Lin.G
2.353270011,0.1,c4.large
1.934719324,0.085,F2s
2.772744572,0.0709,N1cc
1,0.045,Lin.C
2.587040245,0.133,r4.large
2.781869536,0.126,E2s
2.844907224,0.1184,N1M2
3.488077099,0.09,Lin.M
1.878493105,0.085,c5.large
2.702999863,0.1,m4.large
1.662801821,0.0464,t2.medium
2.751583394,0.023,t2.small
2.126098527,0.0752,t3a.large
2.118464623,0.0376,t3a.medium
2.183819897,0.0188,t3a.small
2.601935978,0.0208,t3.small
