a2cloud_score,Cost(per hour USD),Instance
1.546833946,0.0928,t2.large
7.824279806,0.0832,B2ms
2.734894077,0.095,N1s2
1.792957376,0.015,Lin.G
2.344598778,0.1,c4.large
1.919955934,0.085,F2s
2.748783861,0.0709,N1cc
0.976119663,0.045,Lin.C
2.551538524,0.133,r4.large
2.733161884,0.126,E2s
2.818378319,0.1184,N1M2
3.348148938,0.09,Lin.M
1.872958959,0.085,c5.large
2.674620718,0.1,m4.large
1.64936202,0.0464,t2.medium
2.741516898,0.023,t2.small
2.111465435,0.0752,t3a.large
2.10413686,0.0376,t3a.medium
2.164360579,0.0188,t3a.small
2.585727165,0.0208,t3.small
