a2cloud_score,Cost(per hour USD),Instance
1.562489024,0.0928,t2.large
12.17572019,0.0832,B2ms
2.775406454,0.095,N1s2
1.83287646,0.015,Lin.G
2.361941244,0.1,c4.large
1.949482713,0.085,F2s
2.796705283,0.0709,N1cc
1.023880337,0.045,Lin.C
2.622541966,0.133,r4.large
2.830577188,0.126,E2s
2.871436128,0.1184,N1M2
3.628005259,0.09,Lin.M
1.884027251,0.085,c5.large
2.731379008,0.1,m4.large
1.676241622,0.0464,t2.medium
2.761649889,0.023,t2.small
2.140731619,0.0752,t3a.large
2.132792386,0.0376,t3a.medium
2.203279215,0.0188,t3a.small
2.618144791,0.0208,t3.small
