a2cloud_score,Cost(per hour USD),Instance
3.596212095,0.0928,t2.large
4.721721395,0.0832,B2ms
4.031996953,0.095,N1s2
5.242235258,0.015,Lin.G
2.312340244,0.1,c4.large
4.210689479,0.085,F2s
3.804893473,0.0709,N1cc
5.978271962,0.045,Lin.C
2.940800814,0.133,r4.large
3.428229551,0.126,E2s
4.033235816,0.1184,N1M2
6.398314515,0.09,Lin.M
1,0.085,c5.large
3.318733098,0.1,m4.large
3.92537394,0.0464,t2.medium
3.598558822,0.023,t2.small
1.481096308,0.0752,t3a.large
4.182982717,0.0376,t3a.medium
10,0.0188,t3a.small
1.818886818,0.0208,t3.small
3.815409966,0.0928,t2.large
5.107299673,0.0832,B2ms
4.528526292,0.095,N1s2
5.827675413,0.015,Lin.G
2.387694793,0.1,c4.large
4.531053908,0.085,F2s
4.274093144,0.0709,N1cc
6.614874456,0.045,Lin.C
3.319976824,0.133,r4.large
3.690424646,0.126,E2s
4.508186263,0.1184,N1M2
7.056432427,0.09,Lin.M
1,0.085,c5.large
3.640959624,0.1,m4.large
4.198361124,0.0464,t2.medium
3.917012719,0.023,t2.small
1.360938635,0.0752,t3a.large
3.953888026,0.0376,t3a.medium
10,0.0188,t3a.small
1.899674766,0.0208,t3.small
3.845201242,0.0928,t2.large
5.210058074,0.0832,B2ms
4.796515604,0.095,N1s2
6.135755873,0.015,Lin.G
2.406734823,0.1,c4.large
4.620558723,0.085,F2s
4.548704427,0.0709,N1cc
6.929494129,0.045,Lin.C
3.512502251,0.133,r4.large
3.79819603,0.126,E2s
4.778186767,0.1184,N1M2
7.317538461,0.09,Lin.M
1,0.085,c5.large
3.756545377,0.1,m4.large
4.27848671,0.0464,t2.medium
4.019828674,0.023,t2.small
1.17932116,0.0752,t3a.large
3.801790646,0.0376,t3a.medium
10,0.0188,t3a.small
1.93810516,0.0208,t3.small
3.577241209,0.0928,t2.large
4.785680476,0.0832,B2ms
4.169951233,0.095,N1s2
5.391762822,0.015,Lin.G
2.35018246,0.1,c4.large
4.304535899,0.085,F2s
3.973196549,0.0709,N1cc
6.127019688,0.045,Lin.C
3.040125402,0.133,r4.large
3.4708372,0.126,E2s
4.182148022,0.1184,N1M2
6.50516126,0.09,Lin.M
1,0.085,c5.large
3.35313291,0.1,m4.large
3.964789774,0.0464,t2.medium
3.714903915,0.023,t2.small
1.394123403,0.0752,t3a.large
4.04443602,0.0376,t3a.medium
10,0.0188,t3a.small
1.860408039,0.0208,t3.small
3.576823173,0.0928,t2.large
4.787393561,0.0832,B2ms
4.171430306,0.095,N1s2
5.393166068,0.015,Lin.G
2.351045307,0.1,c4.large
4.306694891,0.085,F2s
3.975496426,0.0709,N1cc
6.128374398,0.045,Lin.C
3.041210525,0.133,r4.large
3.471432301,0.126,E2s
4.183671703,0.1184,N1M2
6.506113562,0.09,Lin.M
1,0.085,c5.large
3.353407693,0.1,m4.large
3.965772153,0.0464,t2.medium
3.717533356,0.023,t2.small
1.392403617,0.0752,t3a.large
4.042860835,0.0376,t3a.medium
10,0.0188,t3a.small
1.861214933,0.0208,t3.small
3.578438438,0.0928,t2.large
4.785426268,0.0832,B2ms
4.172003486,0.095,N1s2
5.394368553,0.015,Lin.G
2.349441961,0.1,c4.large
4.302943036,0.085,F2s
3.974003807,0.0709,N1cc
6.129870374,0.045,Lin.C
3.041741442,0.133,r4.large
3.471974659,0.126,E2s
4.18427679,0.1184,N1M2
6.507856606,0.09,Lin.M
1,0.085,c5.large
3.354721195,0.1,m4.large
3.964574249,0.0464,t2.medium
3.712769815,0.023,t2.small
1.394998426,0.0752,t3a.large
4.043907772,0.0376,t3a.medium
10,0.0188,t3a.small
1.859816686,0.0208,t3.small
3.591761553,0.0928,t2.large
4.721008866,0.0832,B2ms
4.099531057,0.095,N1s2
5.320437124,0.015,Lin.G
2.317718851,0.1,c4.large
4.219397288,0.085,F2s
3.871246928,0.0709,N1cc
6.057325855,0.045,Lin.C
2.989632591,0.133,r4.large
3.445215968,0.126,E2s
4.109970045,0.1184,N1M2
6.454075266,0.09,Lin.M
1,0.085,c5.large
3.33765025,0.1,m4.large
3.924268821,0.0464,t2.medium
3.611121257,0.023,t2.small
1.47086034,0.0752,t3a.large
4.112225952,0.0376,t3a.medium
10,0.0188,t3a.small
1.827801838,0.0208,t3.small
3.744804815,0.0928,t2.large
9.86611661,0.0832,B2ms
5.215821246,0.095,N1s2
5.162255524,0.015,Lin.G
3.246004029,0.1,c4.large
5.368747006,0.085,F2s
4.992448932,0.0709,N1cc
5.959372104,0.045,Lin.C
4.552854723,0.133,r4.large
6.255207886,0.126,E2s
5.201603842,0.1184,N1M2
6.369769322,0.09,Lin.M
1,0.085,c5.large
4.706834849,0.1,m4.large
5.015783935,0.0464,t2.medium
4.733812513,0.023,t2.small
1.200524199,0.0752,t3a.large
3.912728323,0.0376,t3a.medium
10,0.0188,t3a.small
1.901100786,0.0208,t3.small
3.070474265,0.0928,t2.large
10,0.0832,B2ms
4.516855984,0.095,N1s2
3.823080045,0.015,Lin.G
3.103070534,0.1,c4.large
4.726480316,0.085,F2s
4.34696651,0.0709,N1cc
4.435568668,0.045,Lin.C
4.292608921,0.133,r4.large
6.194828704,0.126,E2s
4.500784914,0.1184,N1M2
4.766016531,0.09,Lin.M
1,0.085,c5.large
4.339779358,0.1,m4.large
4.433746357,0.0464,t2.medium
4.240473324,0.023,t2.small
1.150719776,0.0752,t3a.large
3.076316095,0.0376,t3a.medium
7.593058108,0.0188,t3a.small
1.677992353,0.0208,t3.small
