a2cloud_score,Cost(per hour USD),Instance
3.703098835,0.0928,t2.large
4.735488284,0.0832,B2ms
4.08157961,0.095,N1s2
5.398998948,0.015,Lin.G
2.375191339,0.1,c4.large
4.286392075,0.085,F2s
3.769155118,0.0709,N1cc
6.127642888,0.045,Lin.C
3.026551723,0.133,r4.large
3.412611179,0.126,E2s
4.06476652,0.1184,N1M2
6.48910231,0.09,Lin.M
1,0.085,c5.large
3.441534729,0.1,m4.large
3.741597597,0.0464,t2.medium
3.707880919,0.023,t2.small
1.440254413,0.0752,t3a.large
4.173891591,0.0376,t3a.medium
10,0.0188,t3a.small
1.795615141,0.0208,t3.small
3.972122955,0.0928,t2.large
5.134922349,0.0832,B2ms
4.586636316,0.095,N1s2
6.031899011,0.015,Lin.G
2.455482957,0.1,c4.large
4.624100161,0.085,F2s
4.236892092,0.0709,N1cc
6.824559885,0.045,Lin.C
3.413113732,0.133,r4.large
3.670212549,0.126,E2s
4.540361215,0.1184,N1M2
7.173641385,0.09,Lin.M
1,0.085,c5.large
3.771811196,0.1,m4.large
4.05155049,0.0464,t2.medium
4.036892572,0.023,t2.small
1.305109647,0.0752,t3a.large
3.949155492,0.0376,t3a.medium
10,0.0188,t3a.small
1.881595644,0.0208,t3.small
3.99713769,0.0928,t2.large
5.233964733,0.0832,B2ms
4.842367515,0.095,N1s2
6.352415231,0.015,Lin.G
2.470119153,0.1,c4.large
4.708843326,0.085,F2s
4.488619144,0.0709,N1cc
7.164399696,0.045,Lin.C
3.590888598,0.133,r4.large
3.759987843,0.126,E2s
4.792743135,0.1184,N1M2
7.43037915,0.09,Lin.M
1,0.085,c5.large
3.879221418,0.1,m4.large
4.122174868,0.0464,t2.medium
4.128537432,0.023,t2.small
1.110854578,0.0752,t3a.large
3.788980792,0.0376,t3a.medium
10,0.0188,t3a.small
1.920564197,0.0208,t3.small
3.70088608,0.0928,t2.large
4.794754919,0.0832,B2ms
4.208122326,0.095,N1s2
5.551681658,0.015,Lin.G
2.40959223,0.1,c4.large
4.376804317,0.085,F2s
3.918904955,0.0709,N1cc
6.286042946,0.045,Lin.C
3.111420851,0.133,r4.large
3.441144875,0.126,E2s
4.195702136,0.1184,N1M2
6.587812781,0.09,Lin.M
1,0.085,c5.large
3.468137018,0.1,m4.large
3.782389531,0.0464,t2.medium
3.817378135,0.023,t2.small
1.346421878,0.0752,t3a.large
4.032096964,0.0376,t3a.medium
10,0.0188,t3a.small
1.838409153,0.0208,t3.small
3.700503087,0.0928,t2.large
4.796442236,0.0832,B2ms
4.20943673,0.095,N1s2
5.553125471,0.015,Lin.G
2.410450774,0.1,c4.large
4.378971055,0.085,F2s
3.920970716,0.0709,N1cc
6.287519235,0.045,Lin.C
3.112334374,0.133,r4.large
3.441569139,0.126,E2s
4.19700879,0.1184,N1M2
6.588675832,0.09,Lin.M
1,0.085,c5.large
3.468322472,0.1,m4.large
3.783381952,0.0464,t2.medium
3.819993414,0.023,t2.small
1.344604093,0.0752,t3a.large
4.030479915,0.0376,t3a.medium
10,0.0188,t3a.small
1.839247497,0.0208,t3.small
3.702411098,0.0928,t2.large
4.794507447,0.0832,B2ms
4.210248593,0.095,N1s2
5.554410173,0.015,Lin.G
2.408788331,0.1,c4.large
4.375142924,0.085,F2s
3.919723041,0.0709,N1cc
6.289058919,0.045,Lin.C
3.11307389,0.133,r4.large
3.442293653,0.126,E2s
4.197847514,0.1184,N1M2
6.590561769,0.09,Lin.M
1,0.085,c5.large
3.469746602,0.1,m4.large
3.782211382,0.0464,t2.medium
3.815108736,0.023,t2.small
1.347284797,0.0752,t3a.large
4.031569286,0.0376,t3a.medium
10,0.0188,t3a.small
1.837786135,0.0208,t3.small
3.714913826,0.0928,t2.large
4.731629876,0.0832,B2ms
4.144806234,0.095,N1s2
5.478328346,0.015,Lin.G
2.377629102,0.1,c4.large
4.291841834,0.085,F2s
3.82730652,0.0709,N1cc
6.210493847,0.045,Lin.C
3.068496576,0.133,r4.large
3.423258604,0.126,E2s
4.132862743,0.1184,N1M2
6.540551368,0.09,Lin.M
1,0.085,c5.large
3.4566766,0.1,m4.large
3.742432521,0.0464,t2.medium
3.714980966,0.023,t2.small
1.427519436,0.0752,t3a.large
4.101931103,0.0376,t3a.medium
10,0.0188,t3a.small
1.804631721,0.0208,t3.small
3.83009154,0.0928,t2.large
10,0.0832,B2ms
5.155071082,0.095,N1s2
5.274952099,0.015,Lin.G
3.321310863,0.1,c4.large
5.438682739,0.085,F2s
4.830464352,0.0709,N1cc
6.077264616,0.045,Lin.C
4.64146559,0.133,r4.large
6.269606359,0.126,E2s
5.112996267,0.1184,N1M2
6.37410665,0.09,Lin.M
1,0.085,c5.large
4.831106534,0.1,m4.large
4.834692493,0.0464,t2.medium
4.832517916,0.023,t2.small
1.136311046,0.0752,t3a.large
3.864231965,0.0376,t3a.medium
9.893657999,0.0188,t3a.small
1.870108023,0.0208,t3.small
3.1088589,0.0928,t2.large
10,0.0832,B2ms
4.375391911,0.095,N1s2
3.842801331,0.015,Lin.G
3.130943044,0.1,c4.large
4.719935813,0.085,F2s
4.133184314,0.0709,N1cc
4.448028032,0.045,Lin.C
4.313586935,0.133,r4.large
6.141998298,0.126,E2s
4.336360229,0.1184,N1M2
4.682849147,0.09,Lin.M
1,0.085,c5.large
4.381996707,0.1,m4.large
4.262334182,0.0464,t2.medium
4.263073683,0.023,t2.small
1.098316354,0.0752,t3a.large
3.000228119,0.0376,t3a.medium
7.374829258,0.0188,t3a.small
1.642518062,0.0208,t3.small
