a2cloud_score,Cost(per hour USD),Instance
3.495504544,0.0928,t2.large
4.705422603,0.0832,B2ms
3.981582786,0.095,N1s2
5.089333747,0.015,Lin.G
2.251680609,0.1,c4.large
4.135353002,0.085,F2s
3.837144064,0.0709,N1cc
5.831263114,0.045,Lin.C
2.857892948,0.133,r4.large
3.440926171,0.126,E2s
4.000258905,0.1184,N1M2
6.306784462,0.09,Lin.M
1,0.085,c5.large
3.200764631,0.1,m4.large
3.502047601,0.0464,t2.medium
3.492565212,0.023,t2.small
1.519127278,0.0752,t3a.large
4.189009266,0.0376,t3a.medium
10,0.0188,t3a.small
1.839898647,0.0208,t3.small
3.694529545,0.0928,t2.large
5.077224451,0.0832,B2ms
4.472916788,0.095,N1s2
5.629995593,0.015,Lin.G
2.322729748,0.1,c4.large
4.439458532,0.085,F2s
4.309592499,0.0709,N1cc
6.410438276,0.045,Lin.C
3.232084758,0.133,r4.large
3.708323334,0.126,E2s
4.476295287,0.1184,N1M2
6.94003229,0.09,Lin.M
1,0.085,c5.large
3.51643817,0.1,m4.large
3.787387582,0.0464,t2.medium
3.802374768,0.023,t2.small
1.412958738,0.0752,t3a.large
3.955308782,0.0376,t3a.medium
10,0.0188,t3a.small
1.915600282,0.0208,t3.small
3.73314274,0.0928,t2.large
5.183688255,0.0832,B2ms
4.754126499,0.095,N1s2
5.92643693,0.015,Lin.G
2.346203624,0.1,c4.large
4.533938139,0.085,F2s
4.608402518,0.0709,N1cc
6.701248542,0.045,Lin.C
3.440194868,0.133,r4.large
3.834526485,0.126,E2s
4.764930081,0.1184,N1M2
7.206139445,0.09,Lin.M
1,0.085,c5.large
3.640615495,0.1,m4.large
3.873469675,0.0464,t2.medium
3.916933449,0.023,t2.small
1.243449728,0.0752,t3a.large
3.811011162,0.0376,t3a.medium
10,0.0188,t3a.small
1.953421011,0.0208,t3.small
3.481584599,0.0928,t2.large
4.772594928,0.0832,B2ms
4.133136068,0.095,N1s2
5.235944306,0.015,Lin.G
2.292904273,0.1,c4.large
4.232759497,0.085,F2s
4.025106468,0.0709,N1cc
5.970821247,0.045,Lin.C
2.972400752,0.133,r4.large
3.498224819,0.126,E2s
4.167991194,0.1184,N1M2
6.422070883,0.09,Lin.M
1,0.085,c5.large
3.243168686,0.1,m4.large
3.557086148,0.0464,t2.medium
3.616140941,0.023,t2.small
1.438753384,0.0752,t3a.large
4.054028666,0.0376,t3a.medium
10,0.0188,t3a.small
1.880065079,0.0208,t3.small
3.481270852,0.0928,t2.large
4.774295363,0.0832,B2ms
4.134802036,0.095,N1s2
5.23730977,0.015,Lin.G
2.293772301,0.1,c4.large
4.234913341,0.085,F2s
4.02765617,0.0709,N1cc
5.972060031,0.045,Lin.C
2.973671374,0.133,r4.large
3.499001647,0.126,E2s
4.169746252,0.1184,N1M2
6.423115521,0.09,Lin.M
1,0.085,c5.large
3.24353513,0.1,m4.large
3.558182867,0.0464,t2.medium
3.618790929,0.023,t2.small
1.437128467,0.0752,t3a.large
4.052503395,0.0376,t3a.medium
10,0.0188,t3a.small
1.880840646,0.0208,t3.small
3.482656309,0.0928,t2.large
4.77239088,0.0832,B2ms
4.1351208,0.095,N1s2
5.238433885,0.015,Lin.G
2.292225813,0.1,c4.large
4.231235307,0.085,F2s
4.025901932,0.0709,N1cc
5.973514248,0.045,Lin.C
2.973973338,0.133,r4.large
3.499343747,0.126,E2s
4.17009815,0.1184,N1M2
6.424717389,0.09,Lin.M
1,0.085,c5.large
3.244740196,0.1,m4.large
3.556979383,0.0464,t2.medium
3.614143001,0.023,t2.small
1.439638066,0.0752,t3a.large
4.053486255,0.0376,t3a.medium
10,0.0188,t3a.small
1.879503287,0.0208,t3.small
3.491460312,0.0928,t2.large
4.707833045,0.0832,B2ms
4.054735183,0.095,N1s2
5.166515213,0.015,Lin.G
2.259904974,0.1,c4.large
4.147338133,0.085,F2s
3.912119307,0.0709,N1cc
5.906716526,0.045,Lin.C
2.913758638,0.133,r4.large
3.464419886,0.126,E2s
4.085861172,0.1184,N1M2
6.367007294,0.09,Lin.M
1,0.085,c5.large
3.223549739,0.1,m4.large
3.511973016,0.0464,t2.medium
3.510696559,0.023,t2.small
1.511264233,0.0752,t3a.large
4.11948227,0.0376,t3a.medium
10,0.0188,t3a.small
1.848631481,0.0208,t3.small
3.643049445,0.0928,t2.large
9.630042042,0.0832,B2ms
5.231535474,0.095,N1s2
5.003464065,0.015,Lin.G
3.147109604,0.1,c4.large
5.248729439,0.085,F2s
5.111369725,0.0709,N1cc
5.785015314,0.045,Lin.C
4.428348241,0.133,r4.large
6.180520401,0.126,E2s
5.245099634,0.1184,N1M2
6.300823879,0.09,Lin.M
1,0.085,c5.large
4.544812653,0.1,m4.large
4.562301609,0.0464,t2.medium
4.595630246,0.023,t2.small
1.259246489,0.0752,t3a.large
3.923371839,0.0376,t3a.medium
10,0.0188,t3a.small
1.919380287,0.0208,t3.small
3.054319432,0.0928,t2.large
10,0.0832,B2ms
4.670562673,0.095,N1s2
3.803026141,0.015,Lin.G
3.07537954,0.1,c4.large
4.733313615,0.085,F2s
4.576072897,0.0709,N1cc
4.422087547,0.045,Lin.C
4.274689882,0.133,r4.large
6.251051401,0.126,E2s
4.67777203,0.1184,N1M2
4.850413287,0.09,Lin.M
1,0.085,c5.large
4.298887646,0.1,m4.large
4.191026858,0.0464,t2.medium
4.219087277,0.023,t2.small
1.203310735,0.0752,t3a.large
3.152671839,0.0376,t3a.medium
7.819398799,0.0188,t3a.small
1.713492429,0.0208,t3.small
