a2cloud_score,Cost(per hour USD),Instance
4.633440312,0.0928,t2.large
6.318829893,0.0832,B2ms
9.038883611,0.095,N1s2
9.821038644,0.015,Lin.G
4.977152228,0.1,c4.large
5.783914124,0.085,F2s
9.070476207,0.0709,N1cc
10,0.045,Lin.C
7.874823842,0.133,r4.large
6.28898008,0.126,E2s
8.984786612,0.1184,N1M2
8.298616216,0.09,Lin.M
4.969065989,0.085,c5.large
6.43695486,0.1,m4.large
5.643722992,0.0464,t2.medium
6.053030115,0.023,t2.small
1,0.0752,t3a.large
1.344740314,0.0376,t3a.medium
2.999123304,0.0188,t3a.small
5.50375606,0.0208,t3.small
4.728913303,0.0928,t2.large
6.439425016,0.0832,B2ms
8.697386042,0.095,N1s2
9.677925787,0.015,Lin.G
4.693028878,0.1,c4.large
5.859931653,0.085,F2s
8.647939083,0.0709,N1cc
10,0.045,Lin.C
7.440293434,0.133,r4.large
6.098610048,0.126,E2s
8.637723169,0.1184,N1M2
8.5942847,0.09,Lin.M
4.382992257,0.085,c5.large
6.25619191,0.1,m4.large
5.620619616,0.0464,t2.medium
5.974967878,0.023,t2.small
1,0.0752,t3a.large
1.784792535,0.0376,t3a.medium
4.455325669,0.0188,t3a.small
5.033900059,0.0208,t3.small
4.915704023,0.0928,t2.large
6.697675549,0.0832,B2ms
7.954109258,0.095,N1s2
9.373434288,0.015,Lin.G
4.157835848,0.1,c4.large
6.046343668,0.085,F2s
7.749886315,0.0709,N1cc
10,0.045,Lin.C
6.484440845,0.133,r4.large
5.728844574,0.126,E2s
7.896017895,0.1184,N1M2
9.204744853,0.09,Lin.M
3.194327092,0.085,c5.large
5.869357615,0.1,m4.large
5.58254062,0.0464,t2.medium
5.816607054,0.023,t2.small
1,0.0752,t3a.large
3.053704833,0.0376,t3a.medium
8.072975389,0.0188,t3a.small
4.091619252,0.0208,t3.small
4.800172822,0.0928,t2.large
6.316344154,0.0832,B2ms
8.331257369,0.095,N1s2
9.551579218,0.015,Lin.G
4.416010995,0.1,c4.large
5.888618771,0.085,F2s
8.216853418,0.0709,N1cc
10,0.045,Lin.C
6.961256927,0.133,r4.large
5.810355057,0.126,E2s
8.270198538,0.1184,N1M2
8.862560026,0.09,Lin.M
3.872349584,0.085,c5.large
6.030894364,0.1,m4.large
5.558225817,0.0464,t2.medium
5.859786899,0.023,t2.small
1,0.0752,t3a.large
2.324171763,0.0376,t3a.medium
5.955299781,0.0188,t3a.small
4.624618186,0.0208,t3.small
4.838575061,0.0928,t2.large
6.581060361,0.0832,B2ms
8.286952207,0.095,N1s2
9.509916485,0.015,Lin.G
4.392968515,0.1,c4.large
5.967253636,0.085,F2s
8.151342879,0.0709,N1cc
10,0.045,Lin.C
6.915186995,0.133,r4.large
5.890455827,0.126,E2s
8.224506626,0.1184,N1M2
8.940073704,0.09,Lin.M
3.726141911,0.085,c5.large
6.047503321,0.1,m4.large
5.606585621,0.0464,t2.medium
5.893928876,0.023,t2.small
1,0.0752,t3a.large
2.466959648,0.0376,t3a.medium
6.394924427,0.0188,t3a.small
4.512372208,0.0208,t3.small
4.800172822,0.0928,t2.large
6.316344154,0.0832,B2ms
8.331257369,0.095,N1s2
9.551579218,0.015,Lin.G
4.416010995,0.1,c4.large
5.888618771,0.085,F2s
8.216853418,0.0709,N1cc
10,0.045,Lin.C
6.961256927,0.133,r4.large
5.810355057,0.126,E2s
8.270198538,0.1184,N1M2
8.862560026,0.09,Lin.M
3.872349584,0.085,c5.large
6.030894364,0.1,m4.large
5.558225817,0.0464,t2.medium
5.859786899,0.023,t2.small
1,0.0752,t3a.large
2.324171763,0.0376,t3a.medium
5.955299781,0.0188,t3a.small
4.624618186,0.0208,t3.small
4.61385517,0.0928,t2.large
6.529871,0.0832,B2ms
9.211896422,0.095,N1s2
9.873420071,0.015,Lin.G
5.183469332,0.1,c4.large
5.907986381,0.085,F2s
9.309213577,0.0709,N1cc
10,0.045,Lin.C
8.102168094,0.133,r4.large
6.477982947,0.126,E2s
9.160091417,0.1184,N1M2
8.188830871,0.09,Lin.M
5.215306192,0.085,c5.large
6.557448833,0.1,m4.large
5.749438953,0.0464,t2.medium
6.248398034,0.023,t2.small
1,0.0752,t3a.large
1.210308156,0.0376,t3a.medium
2.548864098,0.0188,t3a.small
5.738734402,0.0208,t3.small
4.581373841,0.0928,t2.large
5.964147834,0.0832,B2ms
9.09872949,0.095,N1s2
9.878538252,0.015,Lin.G
5.023419799,0.1,c4.large
5.695165215,0.085,F2s
9.166418714,0.0709,N1cc
10,0.045,Lin.C
7.936188671,0.133,r4.large
6.182828617,0.126,E2s
9.047082453,0.1184,N1M2
8.192686246,0.09,Lin.M
5.178734748,0.085,c5.large
6.414835456,0.1,m4.large
5.587911341,0.0464,t2.medium
6.026515929,0.023,t2.small
1,0.0752,t3a.large
1.181341066,0.0376,t3a.medium
2.444768426,0.0188,t3a.small
5.670967327,0.0208,t3.small
4.578154882,0.0928,t2.large
5.906093726,0.0832,B2ms
9.086258841,0.095,N1s2
9.878705419,0.015,Lin.G
5.006059011,0.1,c4.large
5.673213152,0.085,F2s
9.150648948,0.0709,N1cc
10,0.045,Lin.C
7.918019198,0.133,r4.large
6.151856956,0.126,E2s
9.03465787,0.1184,N1M2
8.193670265,0.09,Lin.M
5.173288206,0.085,c5.large
6.399542371,0.1,m4.large
5.57097301,0.0464,t2.medium
6.003260263,0.023,t2.small
1,0.0752,t3a.large
1.178667554,0.0376,t3a.medium
2.437212575,0.0188,t3a.small
5.662623646,0.0208,t3.small
4.584395601,0.0928,t2.large
6.013188488,0.0832,B2ms
9.106999833,0.095,N1s2
9.877452135,0.015,Lin.G
5.035616306,0.1,c4.large
5.713414727,0.085,F2s
9.176793926,0.0709,N1cc
10,0.045,Lin.C
7.948536078,0.133,r4.large
6.207190122,0.126,E2s
9.055392364,0.1184,N1M2
8.193409386,0.09,Lin.M
5.178869798,0.085,c5.large
6.426018757,0.1,m4.large
5.601266101,0.0464,t2.medium
6.044879669,0.023,t2.small
1,0.0752,t3a.large
1.184404806,0.0376,t3a.medium
2.45941708,0.0188,t3a.small
5.674351867,0.0208,t3.small
4.57758481,0.0928,t2.large
5.895619629,0.0832,B2ms
9.083929214,0.095,N1s2
9.878702347,0.015,Lin.G
5.002840082,0.1,c4.large
5.669242338,0.085,F2s
9.147700141,0.0709,N1cc
10,0.045,Lin.C
7.914635471,0.133,r4.large
6.146205759,0.126,E2s
9.0323393,0.1184,N1M2
8.193902545,0.09,Lin.M
5.172148635,0.085,c5.large
6.396722239,0.1,m4.large
5.56788359,0.0464,t2.medium
5.999019516,0.023,t2.small
1,0.0752,t3a.large
1.178214235,0.0376,t3a.medium
2.436140739,0.0188,t3a.small
