a2cloud_score,Cost(per hour USD),Instance
1.779286759,0.0928,t2.large
9.038401402,0.0832,B2ms
5.508524548,0.095,N1s2
1.845338167,0.015,Lin.G
1.565041901,0.1,c4.large
1.690335421,0.085,F2s
1.656208121,0.0709,N1cc
2.075739165,0.045,Lin.C
1.72980663,0.133,r4.large
3.5045178,0.126,E2s
1.033746501,0.1184,N1M2
2.33243659,0.09,Lin.M
1,0.085,c5.large
1.560080378,0.1,m4.large
2.685426037,0.0464,t2.medium
10,0.023,t2.small
1.836081155,0.0752,t3a.large
1.902415014,0.0376,t3a.medium
1.964006358,0.0188,t3a.small
1.183192607,0.0208,t3.small
