a2cloud_score,Cost(per hour USD),Instance
3.076447238,0.0928,t2.large
9.66489093,0.0832,B2ms
6.497144084,0.095,N1s2
3.247460983,0.015,Lin.G
1,0.1,c4.large
3.103549398,0.085,F2s
3.133766497,0.0709,N1cc
3.471246558,0.045,Lin.C
3.181794648,0.133,r4.large
4.325150553,0.126,E2s
2.659697886,0.1184,N1M2
3.649722087,0.09,Lin.M
2.34129306,0.085,c5.large
3.573166627,0.1,m4.large
3.214890355,0.0464,t2.medium
10,0.023,t2.small
3.179370642,0.0752,t3a.large
3.277306088,0.0376,t3a.medium
3.346108142,0.0188,t3a.small
2.47685644,0.0208,t3.small
