a2cloud_score,Cost(per hour USD),Instance
1.883159856,0.0928,t2.large
8.719943228,0.0832,B2ms
5.370360394,0.095,N1s2
1.868025788,0.015,Lin.G
1.584332447,0.1,c4.large
1.724290006,0.085,F2s
1.649536147,0.0709,N1cc
2.074805428,0.045,Lin.C
1.731924073,0.133,r4.large
3.72886123,0.126,E2s
1,0.1184,N1M2
2.354524591,0.09,Lin.M
1.168616629,0.085,c5.large
1.192258173,0.1,m4.large
3.212884645,0.0464,t2.medium
10,0.023,t2.small
1.900872911,0.0752,t3a.large
1.937073191,0.0376,t3a.medium
1.986097166,0.0188,t3a.small
1.362532671,0.0208,t3.small
